Item,Division
Office Buildout,FINISHES
CLUB  Carpet & Tile (M&L),FINISHES
Exterior Paint,FINISHES
Specialty Finishes,FINISHES
 Wall & Ceiling Asm  Riser Room Sheathing,FINISHES
Wall Panels & Trim,FINISHES
Quartz Countertops,FINISHES
Interior Completion,FINISHES
Lath & Plaster,FINISHES
Office  Floring  Base  Wainscot Bathroom,FINISHES
Restroom Finishes,FINISHES
INTERIOR PAINTS,FINISHES
Carpet & Vinyl Base ,FINISHES
Res Tek Flooring  Epoxy Specialists,FINISHES
 Cycle Room Ceiling  Allowance,FINISHES
APT  Countertops,FINISHES
Backsplashes,FINISHES
Gypsum Board,FINISHES
Painting  Phase 2  Allowance,FINISHES
Painting Wallcovering and Coatings,FINISHES
Finish Out for the Office (Includes Ceiling),FINISHES
Amenity Painting,FINISHES
Finish Allowances  Phase 2,FINISHES
LEASING OFFICE  CLUBHOUSE  PAINTING,FINISHES
Main Lobby Allowance,FINISHES
Unit Granite Countertops,FINISHES
Amenity Tops,FINISHES
 Lobby Ceiling  Allowance,FINISHES
Alternate  Paint Interior Steel Columns Safety Yellow,FINISHES
APT  Vinyl Siding Shutters Columns and Gutters,FINISHES
Drywall & Texture  Material  Labor (level 3 finish in units),FINISHES
Painting,FINISHES
Drywall,FINISHES
Ceramic Tile  Backsplashes,FINISHES
Interior Paint,FINISHES
TI Allowance ($30SF of Flex Space),FINISHES
EXTERIOR PAINTS,FINISHES
Kitchen  Bath Countertops (2cm level 3 quartz),FINISHES
Fabric panels at Media Room (Allowance),FINISHES
Wood flooring,FINISHES
Install 58 Sheetrock throughout  Level 4 smooth finish,FINISHES
APT  Drywall,FINISHES
Residential Carpet (Shaw Stardom),FINISHES
Alternate #5  BAM System  Exterior Only,FINISHES
Acoustical Ceiling Tile & Grid,FINISHES
Tub  Shower Tile Surrounds (4 x 16 glossy subway white tile),FINISHES
Tile  Material,FINISHES
Exterior Finishes  Nichiha Material & Install,FINISHES
Casework  Cabinets  Countertops,FINISHES
Frame  Drywall  ACT,FINISHES
Amenity DoorsTrimHardware ,FINISHES
Ceramic Tile,FINISHES
Unit Cabinets,FINISHES
Vinyl Plank (Tuff Plank Aberdeen Camden),FINISHES
APT  Carpet & Vinyl Flooring,FINISHES
Residential Drywall (medium orange peel texture),FINISHES
Includes Allowance of $9711 for carpet or VCT,FINISHES
Drywall & Framing,FINISHES
Drywall  Shopdrawing,FINISHES
FINISHES TOTAL,FINISHES
Vinyl,FINISHES
Div 9  Finishes  Comparable Pricing,FINISHES
Interior Painting,FINISHES
Flooring (Tile Carpet Resilient & Wood),FINISHES
 PAINTING,FINISHES
Granite Counter tops,FINISHES
 FLOORING UNDERLAYMENT,FINISHES
Tile Work ,FINISHES
Tile Materials,FINISHES
Carpet  Units,FINISHES
Special Lacquer Finishes,FINISHES
Lobby Allowance Floors 567,FINISHES
Interior Drywall,FINISHES
Framing and Drywall,FINISHES
Paint  Turnkey,FINISHES
Comparable Pricing  FINISHES,FINISHES
Complete Wall Systems (Sheetrock Insulation Framing Etc),FINISHES
Tiling,FINISHES
 Window Treatments,FINISHES
Amenity Tile,FINISHES
Concrete Polishing,FINISHES
Carpet,FINISHES
Vinyl Plank Flooring,FINISHES
Masonry (Hardie panels & siding),FINISHES
Paint & Wallcoverings,FINISHES
Flooring  Other  Allowance,FINISHES
Diamond Hard Sealer  Joint Sealant,FINISHES
Project Protection for finishes flooring millwork etc (Allowance),FINISHES
Painting & Wall Covering,FINISHES
Alternate  Manufacturers Standard Hardware,DOORS AND WINDOWS
Office  Trim  Cabinets  Interior Doors,DOORS AND WINDOWS
Access Doors and Panels,DOORS AND WINDOWS
Punched Windows,DOORS AND WINDOWS
Windows  Plygem,DOORS AND WINDOWS
Windows  Metal,DOORS AND WINDOWS
Shell Doors  Frames  Hardware,DOORS AND WINDOWS
Shell Glass  Glazing,DOORS AND WINDOWS
Additional Waterproofing  Fireproofing  Sealants,DOORS AND WINDOWS
Doors Frames and Hardware,DOORS AND WINDOWS
Exterior DFH,DOORS AND WINDOWS
Coiling Doors and Grilles,DOORS AND WINDOWS
Aluminum Curtain Wall Systems,DOORS AND WINDOWS
Overhead Doors (noninsulated),DOORS AND WINDOWS
Access Doors,DOORS AND WINDOWS
Office  Storefront Doors  Windows,DOORS AND WINDOWS
Windows & Exterior Doors  Allowance,DOORS AND WINDOWS
Trim and Door Allowance,DOORS AND WINDOWS
 OHD Dock Doors,DOORS AND WINDOWS
WonDoor,DOORS AND WINDOWS
OH Doors  EOD Levelors  Restraints  Flecha & North America,DOORS AND WINDOWS
Kolbe  Exterior Doors,DOORS AND WINDOWS
Fire Glass,DOORS AND WINDOWS
Aluminum Window Frames & Doors,DOORS AND WINDOWS
Glass Glazing & Mirrors,DOORS AND WINDOWS
 Doors  Furnish HM Doors Frames & HW,DOORS AND WINDOWS
Doors Frames Hardware  Phase 2  Allowance,DOORS AND WINDOWS
Lead Lined Frames,DOORS AND WINDOWS
Residential Interior Doors,DOORS AND WINDOWS
Interior Glass  Office,DOORS AND WINDOWS
Hardware,DOORS AND WINDOWS
Entry Door,DOORS AND WINDOWS
Office  Hardware  Accessories,DOORS AND WINDOWS
 Glazing  Insulated Full Door Lites,DOORS AND WINDOWS
Storefront Glazing  Allowance,DOORS AND WINDOWS
Interior Wood doors,DOORS AND WINDOWS
Metal Doors & Frames,DOORS AND WINDOWS
Interior Doors Frames & Hardware  Office,DOORS AND WINDOWS
Full View Sectional Garage Door,DOORS AND WINDOWS
Finish Hardware,DOORS AND WINDOWS
Vinyl Windows (Boral 450 series),DOORS AND WINDOWS
Doors Frames & Hardware,DOORS AND WINDOWS
Window and Sliding Glass Door Bucking,DOORS AND WINDOWS
Storefront system,DOORS AND WINDOWS
Glass and Glazing  Interior,DOORS AND WINDOWS
Garage Door,DOORS AND WINDOWS
 Windows  Furnish Vinyl Windows,DOORS AND WINDOWS
Metal Door Frame and HDW,DOORS AND WINDOWS
 Exterior Glazing,DOORS AND WINDOWS
Common Area Door Hardware,DOORS AND WINDOWS
DOORS FRAMES HW  LEASING OFFICE  CLUBHOUSE,DOORS AND WINDOWS
Window Installation,DOORS AND WINDOWS
Unit Hardware,DOORS AND WINDOWS
Garage Doors  Hardware,DOORS AND WINDOWS
Overhead Door Track Guards,DOORS AND WINDOWS
Door Hardware,DOORS AND WINDOWS
Steel Windows,DOORS AND WINDOWS
Front door knob,DOORS AND WINDOWS
Doors Frames Hardware (7) Sets,DOORS AND WINDOWS
Doors and Windows,DOORS AND WINDOWS
Overhead Doors & Dock Equipment,DOORS AND WINDOWS
Special Doors,DOORS AND WINDOWS
Entry Steel Door  Unit 101,DOORS AND WINDOWS
La Cantina Wall  Club (NanaWall system),DOORS AND WINDOWS
Storefronts,DOORS AND WINDOWS
Front Door  Allowance,DOORS AND WINDOWS
Exterior Doors  Allowance,DOORS AND WINDOWS
Windows  Allowance,DOORS AND WINDOWS
#8  Install 3 stl Doors  frames at 2nd flr and 1 at 1st flr,DOORS AND WINDOWS
Glass Shower Doors,DOORS AND WINDOWS
Common Area Metal Doors & Frames,DOORS AND WINDOWS
Overhead Doors  Glass DriveIn Doors,DOORS AND WINDOWS
 Main Entrance Storefront,DOORS AND WINDOWS
Doors & Windows,DOORS AND WINDOWS
Doors,DOORS AND WINDOWS
Overhead Garage Doors (34 garage spaces + 1 overhead coiling door),DOORS AND WINDOWS
Glass and Glazing  Exterior,DOORS AND WINDOWS
Doors Frames Hardware  Allowance,DOORS AND WINDOWS
Exterior Storefront  Club,DOORS AND WINDOWS
Interior Doors Frames and Hardware,DOORS AND WINDOWS
Overhead Doors  Sectional DriveIn Doors,DOORS AND WINDOWS
 Drive In Doors,DOORS AND WINDOWS
Rollup Doors,DOORS AND WINDOWS
 UNALLOCATED,DOORS AND WINDOWS
Glass and Glazing (aluminum storefront),DOORS AND WINDOWS
Furnish Interior Door Hardware (Allowance),DOORS AND WINDOWS
CLUB  Interior Doors,DOORS AND WINDOWS
#10  Install 2 windows in exist metal building (demo  flashing incl),DOORS AND WINDOWS
Exterior Doors Frames & Hardware,DOORS AND WINDOWS
Storefront Systems,DOORS AND WINDOWS
Windows (STC 24  standard color vinyl windows),DOORS AND WINDOWS
CO #1  Solarban 60 instead of 90,DOORS AND WINDOWS
Doors Frames & Hardware & Running Time,DOORS AND WINDOWS
Storefront (clear anodized aluminum),DOORS AND WINDOWS
Entrances Storefront Glass and Glazing,DOORS AND WINDOWS
Exterior Windows and Doors,DOORS AND WINDOWS
Windows & Storefront,DOORS AND WINDOWS
Aluminum Storefront & Glazing,DOORS AND WINDOWS
Interior Doors Frames & Hardware,DOORS AND WINDOWS
Kolbe  Clad Windows,DOORS AND WINDOWS
 WINDOWS,DOORS AND WINDOWS
Storefront (clear anodized aluminum frame storefront),DOORS AND WINDOWS
Openings,DOORS AND WINDOWS
Sliding Glass Doors,DOORS AND WINDOWS
Hardware Allowance,DOORS AND WINDOWS
APT  Exterior Doors,DOORS AND WINDOWS
Doors  Frames  Hardware,DOORS AND WINDOWS
#12  Doors  Trim  Hardware  Millwork at 2nd flr kennels  office,DOORS AND WINDOWS
Screens,DOORS AND WINDOWS
Pocket Door Hardware,DOORS AND WINDOWS
DESCRIPTION,DOORS AND WINDOWS
Overhead Doors (24ga insulated),DOORS AND WINDOWS
Doors  Hardware Labor,DOORS AND WINDOWS
Storefront  Curtain Wall Glazing  Phase 2  Allowance,DOORS AND WINDOWS
Slab Doors HM Frames Hardware,DOORS AND WINDOWS
Window Films,DOORS AND WINDOWS
Storefront DoorsFramesHardware,DOORS AND WINDOWS
Overhead Doors  Grilles,DOORS AND WINDOWS
Interior Glass,DOORS AND WINDOWS
Overhead Coiling Doors,DOORS AND WINDOWS
Windows (STC 27 black exterior vinyl windows),DOORS AND WINDOWS
Overhead Doors  Dock Doors,DOORS AND WINDOWS
Windows and Mechanical Wells  Allowance,DOORS AND WINDOWS
Door Install Labor,DOORS AND WINDOWS
Garage Doors,DOORS AND WINDOWS
Steel Flush Panel Sectional Garage Doors,DOORS AND WINDOWS
VE  Added Entry on Level 2,DOORS AND WINDOWS
OVERHEAD DOORS,DOORS AND WINDOWS
Black Aluminum Garage Doors,DOORS AND WINDOWS
Glass and Doors and Engineering,DOORS AND WINDOWS
DOORS & FRAMES,DOORS AND WINDOWS
Entry Door & Transom,DOORS AND WINDOWS
Steel Doors Wood Doors Frames & Hardware,DOORS AND WINDOWS
DoorDrawer Pulls,DOORS AND WINDOWS
 Access Doors and Panels,DOORS AND WINDOWS
Front Door Allowance,DOORS AND WINDOWS
Louvers  Allowance,DOORS AND WINDOWS
#7  Install 8 windows in exist metal bldg (demo  flashing incl),DOORS AND WINDOWS
Glass and Glazing,DOORS AND WINDOWS
Garage Doors  Allowance,DOORS AND WINDOWS
APT  Windows,DOORS AND WINDOWS
 Overhead Coiling Grilles,DOORS AND WINDOWS
DOORS AND WINDOWS TOTAL,DOORS AND WINDOWS
Storefront,DOORS AND WINDOWS
Openings (Windows  Glass  Glazing),DOORS AND WINDOWS
Doors  Frames  Hardware  Supply,DOORS AND WINDOWS
DOORS  CORRIDORS,DOORS AND WINDOWS
Added Storefront,DOORS AND WINDOWS
Interior Door and HDW,DOORS AND WINDOWS
Window Replacement  Allowance,DOORS AND WINDOWS
 DOOR HARDWARE,DOORS AND WINDOWS
#19  Install 13 windows at 3rd flr (demo  flashing incl),DOORS AND WINDOWS
Reglazing,DOORS AND WINDOWS
CLUB  Storefront Style Doors,DOORS AND WINDOWS
 DoorsFramesHardware,DOORS AND WINDOWS
Div 8  Doors & Windows  Comparable Pricing,DOORS AND WINDOWS
Windows (STC 28 vinyl windows),DOORS AND WINDOWS
Sliding Glass Doors and Window  Shopdrawings,DOORS AND WINDOWS
Overhead Dock Doors,DOORS AND WINDOWS
Entrances & Storefronts,DOORS AND WINDOWS
Interior Doors,DOORS AND WINDOWS
 EXTERIOR DOORS,DOORS AND WINDOWS
Hangar Doors,DOORS AND WINDOWS
Access Panels and Hatches  Allowance,DOORS AND WINDOWS
Ext Window System and Doors,DOORS AND WINDOWS
Amenity Doors,DOORS AND WINDOWS
 SLIDING GLASS DOORS,DOORS AND WINDOWS
Unit Door Hardware,DOORS AND WINDOWS
Wood doors,DOORS AND WINDOWS
Glazing,DOORS AND WINDOWS
Exterior Glass & Glazing,DOORS AND WINDOWS
Overhead Garage Doors (noninsulated garage doors),DOORS AND WINDOWS
 Interior Glazing,DOORS AND WINDOWS
Glazed Curtain Walls,DOORS AND WINDOWS
CLUB  Exterior Doors,DOORS AND WINDOWS
Wood  Vinyl Windows,DOORS AND WINDOWS
Clubhouse Hardware,DOORS AND WINDOWS
Z Guards,DOORS AND WINDOWS
GLAZING & STOREFRONT,DOORS AND WINDOWS
Aluminum Entrances & Storefronts,DOORS AND WINDOWS
APT  FireRated Access Panels,DOORS AND WINDOWS
CLUB  Hardware,DOORS AND WINDOWS
Storefront System with Doors and Hardware,DOORS AND WINDOWS
Common Area Doors,DOORS AND WINDOWS
Doors and Frames,DOORS AND WINDOWS
Wood & HM Doors Frames & Hardware,DOORS AND WINDOWS
Residential Exterior Doors,DOORS AND WINDOWS
Glazing and Storefront,DOORS AND WINDOWS
LEASING OFFICE  CLUBHOUSE  DOORS & WINDOWS,DOORS AND WINDOWS
Exterior Glazing,DOORS AND WINDOWS
Shell Doors Frames Hardware,DOORS AND WINDOWS
Doors Frames & Hardware (includes $25000 Allowance for Access Control Hdw),DOORS AND WINDOWS
Overhead Garage Doors,DOORS AND WINDOWS
Doors Frames Hardware,DOORS AND WINDOWS
Doors  Frames  Hardware  Install,DOORS AND WINDOWS
Metal Doors and Frames,DOORS AND WINDOWS
Interior Doors  Allowance,DOORS AND WINDOWS
Windows,DOORS AND WINDOWS
 INTERIOR DOORS,DOORS AND WINDOWS
Doors Frames & Hardware,DOORS AND WINDOWS
 Windows  Doors  Frames  Hardware  Install,DOORS AND WINDOWS
Finish Hdw Material,DOORS AND WINDOWS
Window & Glazing Systems,DOORS AND WINDOWS
Metal Doors & Windows,DOORS AND WINDOWS
Interior and Exterior Doors,DOORS AND WINDOWS
Interior Glass and Glazing,DOORS AND WINDOWS
Doors and Hardware,DOORS AND WINDOWS
Door & Frames,DOORS AND WINDOWS
Clad Windows & Door Supply,DOORS AND WINDOWS
Doors Frames & Hardware,DOORS AND WINDOWS
Interior Paint Grade Doors,DOORS AND WINDOWS
Automatic Doors,DOORS AND WINDOWS
Windows (STC 28 vinyl windows white),DOORS AND WINDOWS
Interior Glazing,DOORS AND WINDOWS
Interior Doors & Windows,DOORS AND WINDOWS
Skylights,DOORS AND WINDOWS
EXT DOORS  FRAMES  HDWR,DOORS AND WINDOWS
Storefront Glass,DOORS AND WINDOWS
Aluminum Windows,DOORS AND WINDOWS
Allowance #17  Window Film,DOORS AND WINDOWS
Doors and Hardware  Garage,DOORS AND WINDOWS
Hot Rolled Steel Windows and Doors,DOORS AND WINDOWS
Omit Argon Gas at Insulated Glazing Units,DOORS AND WINDOWS
Finish Hardware  Allowance,DOORS AND WINDOWS
Window Film,DOORS AND WINDOWS
Amenity Door Hardware,DOORS AND WINDOWS
Man Doors,DOORS AND WINDOWS
HM Doors and frames,DOORS AND WINDOWS
Change Silkscreen Surface in glazing from #2 to #3,DOORS AND WINDOWS
Glass  Glazing  Brake Metal,DOORS AND WINDOWS
Patio Doors,DOORS AND WINDOWS
APT  Hardware,DOORS AND WINDOWS
Doors and Hardware  Hotel,DOORS AND WINDOWS
APT  Interior Doors,DOORS AND WINDOWS
EW01 RUG Items,DOORS AND WINDOWS
Exterior Doors,DOORS AND WINDOWS
Doors Frames and Hardware,DOORS AND WINDOWS
Garage Doors with Openers,DOORS AND WINDOWS
ReGlazing,DOORS AND WINDOWS
Interior DFH,DOORS AND WINDOWS
Doors  Hardware,DOORS AND WINDOWS
Doors & Hardware,DOORS AND WINDOWS
Dock Levelers,DOORS AND WINDOWS
Glass Doors Supply & Install  Shower Doors,DOORS AND WINDOWS
Doors and Hardware  Commercial Building,DOORS AND WINDOWS
Garage DoorsOperators,DOORS AND WINDOWS
Glass & Glazing,DOORS AND WINDOWS
Exterior Door Installation,DOORS AND WINDOWS
Exterior Doors Frames and Hardware,DOORS AND WINDOWS
Unit Exterior Doors  Material,DOORS AND WINDOWS
Exterior Glass & Doors,DOORS AND WINDOWS
CLUB  Windows,DOORS AND WINDOWS
Comparable Pricing  DOORS AND WINDOWS,DOORS AND WINDOWS
Glass and Glazing  Hotel,DOORS AND WINDOWS
Unit Interior Doors  Material,DOORS AND WINDOWS
THERMAL & SOUND INSULATION,THERMAL AND MOISTURE PROTECTION
Batt & Blown Insulation,THERMAL AND MOISTURE PROTECTION
Waterproof 5th Floor Balcony & Pavers,THERMAL AND MOISTURE PROTECTION
GuttersDownspouts,THERMAL AND MOISTURE PROTECTION
Roofing Materials & Labor (TPO roofing and metal roofing),THERMAL AND MOISTURE PROTECTION
Foam Roofing  Phase 2  Allowance,THERMAL AND MOISTURE PROTECTION
Siding,THERMAL AND MOISTURE PROTECTION
Roof Drains  Allowance,THERMAL AND MOISTURE PROTECTION
Gutters,THERMAL AND MOISTURE PROTECTION
Building Sealants and Caulking,THERMAL AND MOISTURE PROTECTION
APT  Roofing,THERMAL AND MOISTURE PROTECTION
CLUB  Insulation,THERMAL AND MOISTURE PROTECTION
Moisture Protection,THERMAL AND MOISTURE PROTECTION
ROOFING & FLASHING,THERMAL AND MOISTURE PROTECTION
Fire Stopping and Caulking,THERMAL AND MOISTURE PROTECTION
Batt Insulation,THERMAL AND MOISTURE PROTECTION
Insulation,THERMAL AND MOISTURE PROTECTION
SEALANTS & CAULKING,THERMAL AND MOISTURE PROTECTION
Alternate #1  Clear Waterproofing in lieu of Cementitous,THERMAL AND MOISTURE PROTECTION
 Insulation  Walls (perimeter),THERMAL AND MOISTURE PROTECTION
Rubber Roof Tiles,THERMAL AND MOISTURE PROTECTION
Thermal & Moisture Protection,THERMAL AND MOISTURE PROTECTION
Flashing & Fascia  Allowance,THERMAL AND MOISTURE PROTECTION
